task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R2_partial_shift,random_graph_k25,rmhl,5,256,40000,7.214854001998901,0.7233350920831135,0.93,0.5,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,6,256,40000,4.041760206222534,0.7129454033818245,0.93,0.59,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,7,256,40000,7.065138339996338,0.7131775583528052,0.93,0.43,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,8,256,40000,4.018242120742798,0.7010397979950252,0.94,0.5,0.485,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,9,256,40000,5.578595161437988,0.7256484761689405,0.95,0.5,0.48,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,2,256,40000,6.385322093963623,0.7051212281098465,0.935,0.5,0.465,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,3,256,40000,4.968698263168335,0.7313470767066155,0.94,0.48,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,0,256,40000,6.38176703453064,0.7208095273988091,0.95,0.5,0.495,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,1,256,40000,5.217918157577515,0.7202957212130349,0.945,0.5,0.535,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,4,256,40000,6.47085428237915,0.7161637898545262,0.93,0.525,0.46,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,5,256,40000,5.178865432739258,0.7119785935026759,0.93,0.5,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,8,256,40000,4.586032390594482,0.7305842818019647,0.94,0.5,0.515,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,9,256,40000,10.398325204849243,0.7310729629908796,0.95,0.5,0.52,0,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,0,256,40000,4.414074659347534,0.7228220396472451,0.95,0.4525,0.505,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,1,256,40000,10.189234256744385,0.7298432200195976,0.945,0.5,0.535,5,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,6,256,40000,4.622771263122559,0.733201175849853,0.93,0.475,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,7,256,40000,10.587134838104248,0.7234260445717444,0.93,0.57,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,2,256,40000,4.672526597976685,0.7307989749001281,0.935,0.4,0.535,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,3,256,40000,10.21949315071106,0.7047170925353634,0.94,0.42,0.5,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,4,256,40000,4.671467542648315,0.7224450390693701,0.93,0.585,0.5,4,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,5,256,40000,10.632458448410034,0.7203200924599885,0.93,0.5,0.5,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,6,256,40000,8.797225952148438,0.7316936760382905,0.93,0.59,0.5,3,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,7,256,40000,8.20480990409851,0.7101625587296801,0.93,0.4,0.5,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,8,256,40000,8.8767671585083,0.7020447978694002,0.94,0.5,0.485,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip,9,256,40000,8.332258701324463,0.7381079621115048,0.95,0.5,0.52,3,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,0,256,40000,10.304733991622925,0.7177945277756841,0.95,0.4525,0.495,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,1,256,40000,6.819196462631226,0.7275819703022538,0.945,0.5,0.535,3,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,6,256,40000,7.039825201034546,0.733201175849853,0.93,0.53,0.5,1,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,7,256,40000,6.425057649612427,0.7189035451370568,0.93,0.53,0.5,5,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,4,256,40000,6.883296012878418,0.7167919147760106,0.93,0.585,0.5,5,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,5,256,40000,7.011666536331177,0.7089635938795509,0.93,0.5,0.5,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,2,256,40000,7.104294061660767,0.703613728298284,0.935,0.5,0.465,4,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,3,256,40000,6.850258111953735,0.7283320770834903,0.94,0.5,0.5,2,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,8,256,40000,6.932316064834595,0.7259135448858068,0.94,0.5,0.5,8,0
drift_binary,R2_partial_shift,random_graph_k25,single_flip_norm,9,256,40000,6.783534526824951,0.7250429637446295,0.95,0.5,0.52,3,0
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,0,256,40000,7.628650665283203,0.71578704052662,0.95,0.425,0.5,31,38
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,1,256,40000,7.669775485992432,0.7215519710560037,0.945,0.5,0.49,36,38
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,2,256,40000,7.115117311477661,0.7310238436220196,0.935,0.5,0.5,38,38
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,3,256,40000,7.7801454067230225,0.7132068289741464,0.94,0.48,0.495,33,38
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,6,256,40000,7.434669017791748,0.7276736765407904,0.93,0.53,0.5,21,38
drift_binary,R2_partial_shift,random_graph_k25,pop5_norm,7,256,40000,7.774174213409424,0.7078485465189317,0.93,0.5,0.465,50,38
drift_binary,R3_compression,parallel,rmhl,2,256,40000,3.5426876544952393,0.7154355418205574,0.895,0.5,0.535,0,0
drift_binary,R3_compression,parallel,rmhl,3,256,40000,3.431483268737793,0.680875103640612,0.89,0.5,0.5,0,0
drift_binary,R3_compression,parallel,rmhl,0,256,40000,3.238759994506836,0.7074263209467099,0.915,0.5,0.505,0,0
drift_binary,R3_compression,parallel,rmhl,1,256,40000,3.8090660572052,0.700612296173463,0.91,0.5,0.465,0,0
drift_binary,R3_compression,parallel,rmhl,4,256,40000,3.3518218994140625,0.7074798371900203,0.88,0.525,0.5,0,0
drift_binary,R3_compression,parallel,rmhl,5,256,40000,3.5605416297912598,0.7072420290947464,0.895,0.5,0.5,0,0
