task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R4_near_inversion,parallel,single_flip,2,256,40000,4.033041477203369,0.8749148262606468,0.895,0.895,0.865,1
drift_binary,R4_near_inversion,parallel,single_flip,3,256,40000,4.689187526702881,0.8357372930328384,0.89,0.825,0.845,1
drift_binary,R4_near_inversion,parallel,single_flip,6,256,40000,2.84295654296875,0.8709370367578704,0.88,0.89,0.89,1
drift_binary,R4_near_inversion,parallel,single_flip,7,256,40000,4.608006000518799,0.8672979322127584,0.88,0.895,0.85,1
drift_binary,R3_compression,random_graph_k25,rls_fresh,8,256,40000,9.67801833152771,0.7425617446797819,0.44,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,9,256,40000,10.12997031211853,0.7561317554835305,0.5,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,2,256,40000,9.484306335449219,0.7517587497801563,0.58,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,3,256,40000,12.588141918182373,0.7615323735584533,0.47,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,0,256,40000,9.546557188034058,0.7481621064797367,0.515,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,1,256,40000,14.015957593917847,0.7614042360744704,0.5,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,6,256,40000,12.07944130897522,0.7472626315921711,0.5,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,7,256,40000,10.603801250457764,0.7527612371548454,0.5,1.0,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,0,256,40000,8.348376274108887,0.7438908570136429,0.515,0.9875,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,1,256,40000,6.168351173400879,0.757685736539283,0.5,0.99,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,4,256,40000,12.275039196014404,0.744648375668953,0.5,1.0,1.0,0
drift_binary,R3_compression,random_graph_k25,rls_fresh,5,256,40000,12.573272705078125,0.747388256576468,0.5,1.0,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,2,256,40000,5.562724590301514,0.7476382502952187,0.58,0.99,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,3,256,40000,9.029885053634644,0.7578138740232658,0.47,0.985,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,8,256,40000,5.930073976516724,0.7391196201100474,0.44,0.985,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,9,256,40000,5.898922681808472,0.7522122559734679,0.5,0.985,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,6,256,40000,6.680069446563721,0.7443481319564835,0.5,0.99,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,7,256,40000,6.780389070510864,0.7471407753574031,0.5,0.99,0.99,0
drift_binary,R4_near_inversion,parallel,rls_fresh,4,256,40000,9.391900062561035,0.7402012512248436,0.5,0.99,1.0,0
drift_binary,R4_near_inversion,parallel,rls_fresh,5,256,40000,7.775007486343384,0.7433180070852492,0.5,0.99,1.0,0
drift_binary,R4_near_inversion,random_graph_k25,rmhl,4,256,40000,7.782969236373901,0.49439649757543774,0.93,0.04,0.05,0
drift_binary,R4_near_inversion,random_graph_k25,rmhl,5,256,40000,7.915361642837524,0.4963739604532549,0.93,0.04,0.04,0
drift_binary,R4_near_inversion,random_graph_k25,rmhl,6,256,40000,7.725402116775513,0.49755659405542574,0.93,0.05,0.05,0
