task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,random_graph_k25,rls_auto_adapt,250,3,256,20000,6.910284757614136,0.8231301449421746,-1,nan,0,0.21000000000000008,211.01176470588234,0.20705882352941177,0.9,0.7,0.905,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,4,256,20000,6.679968357086182,0.819802030200495,-1,nan,0,0.1333333333333333,202.4470588235294,0.26823529411764707,0.9,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,5,256,20000,6.883853912353516,0.824443209938892,-1,nan,0,0.14,209.85882352941175,0.21529411764705883,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,pop_auto_adapt,250,2,256,20000,4.003691673278809,0.8498434422503914,219,0.18181818181818188,1,0.2666666666666666,200.30588235294118,0.28352941176470586,1.0,0.755,0.9,0.8
adaptive_window,random_graph_k25,pop_auto_adapt,250,3,256,20000,7.154128313064575,0.8403009948992475,-1,nan,0,0.21000000000000008,213.9764705882353,0.18588235294117647,0.9,0.7,0.955,0.86
adaptive_window,random_graph_k25,rls_auto_adapt,250,6,256,20000,7.931791067123413,0.8388338972779152,-1,nan,0,0.16666666666666674,240.0,0.0,0.9,0.7,0.9,0.87
adaptive_window,random_graph_k25,rls_auto_adapt,250,7,256,20000,6.934755802154541,0.8277814251805465,-1,nan,0,0.07999999999999996,214.96470588235294,0.17882352941176471,1.0,0.69,0.9,0.82
adaptive_window,random_graph_k25,pop_auto_adapt,250,0,256,20000,6.995372772216797,0.8529316701176709,-1,nan,0,0.12,218.09411764705882,0.1564705882352941,1.0,0.79,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,250,1,256,20000,6.735668659210205,0.8351446896621383,-1,nan,0,0.1416666666666666,198.8235294117647,0.29411764705882354,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,8,256,20000,7.952206134796143,0.8237892025655269,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.7,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,250,9,256,20000,8.257871150970459,0.8143376597141558,-1,nan,0,0.06666666666666676,240.0,0.0,0.925,0.71,0.9,0.8
adaptive_window,random_graph_k25,pop_auto_adapt,250,4,256,20000,6.4914610385894775,0.8410130801474673,-1,nan,0,0.13461538461538464,200.63529411764705,0.2811764705882353,0.9,0.7,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,250,5,256,20000,7.095951795578003,0.848684409878289,-1,nan,0,0.14,210.51764705882354,0.21058823529411766,1.0,0.7,1.0,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,250,6,256,20000,8.058639287948608,0.8539846472400384,-1,nan,0,0.16666666666666674,240.0,0.0,0.975,0.71,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,250,7,256,20000,7.297802686691284,0.8409120751477199,-1,nan,0,0.07999999999999996,214.63529411764705,0.1811764705882353,1.0,0.7,0.9,0.9
adaptive_window,parallel,rls_auto,250,0,256,20000,6.436072826385498,0.716612797333468,999,0.27499999999999997,1,0.27499999999999997,240.0,0.0,0.9,0.53,0.9,0.6
adaptive_window,parallel,rls_auto,250,1,256,20000,6.629327058792114,0.7212009494469976,-1,nan,0,0.1499999999999999,240.0,0.0,0.9,0.515,0.9,0.6
adaptive_window,parallel,rls_auto,250,4,256,20000,6.515149831771851,0.7079213171051967,-1,nan,0,0.10833333333333334,240.0,0.0,0.9,0.505,0.9,0.5
adaptive_window,parallel,rls_auto,250,5,256,20000,4.021590709686279,0.7311524670471188,499,0.15000000000000002,1,0.22499999999999998,240.0,0.0,0.935,0.49,0.9,0.615
adaptive_window,random_graph_k25,pop_auto_adapt,250,8,256,20000,8.34786319732666,0.839950002525125,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.7,0.9,0.85
adaptive_window,random_graph_k25,pop_auto_adapt,250,9,256,20000,8.453685998916626,0.8269153073077117,-1,nan,0,0.06666666666666676,240.0,0.0,1.0,0.73,0.9,0.8
adaptive_window,parallel,rls_auto,250,2,256,20000,6.67792820930481,0.7079743447300643,-1,nan,0,0.17500000000000004,240.0,0.0,0.9,0.51,0.9,0.5
adaptive_window,parallel,rls_auto,250,3,256,20000,6.720466375350952,0.7342886722892784,-1,nan,0,0.16666666666666663,240.0,0.0,0.94,0.5,0.9,0.6
adaptive_window,parallel,rls_auto,250,8,256,20000,6.626572370529175,0.7265112873087218,-1,nan,0,0.19166666666666665,240.0,0.0,0.9,0.6,0.9,0.545
adaptive_window,parallel,rls_auto,250,9,256,20000,4.1209821701049805,0.7352987222867532,519,0.16666666666666663,1,0.16666666666666674,240.0,0.0,0.9,0.62,0.9,0.6
adaptive_window,parallel,rls_auto,250,6,256,20000,6.6210644245147705,0.7242411999393971,-1,nan,0,0.10833333333333339,240.0,0.0,0.9,0.5,0.9,0.6
adaptive_window,parallel,rls_auto,250,7,256,20000,6.774470090866089,0.7014569971213575,-1,nan,0,0.175,240.0,0.0,1.0,0.5,0.9,0.47
adaptive_window,parallel,pop_auto,250,0,256,20000,6.624385833740234,0.7549946972375133,999,0.27499999999999997,1,0.27499999999999997,240.0,0.0,0.9,0.6,0.9,0.6
adaptive_window,parallel,pop_auto,250,1,256,20000,6.752053260803223,0.7566587546083532,-1,nan,0,0.1499999999999999,240.0,0.0,0.9,0.58,0.9,0.67
adaptive_window,parallel,pop_auto,250,2,256,20000,6.6443867683410645,0.7541386798646533,-1,nan,0,0.17500000000000004,240.0,0.0,1.0,0.6,0.9,0.6
adaptive_window,parallel,pop_auto,250,3,256,20000,6.708615779876709,0.7676203222059492,-1,nan,0,0.16666666666666663,240.0,0.0,1.0,0.6,1.0,0.6
adaptive_window,parallel,rls_auto_adapt,250,0,256,20000,2.9857852458953857,0.7297484975506288,419,0.18,1,0.24,184.0,0.4,0.9,0.505,0.9,0.6525000000000001
