task,env,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,post_rot_acc,steady_acc,gain_mean,gain_max
rotation2d,R2D_rot90,random_graph_k25,delta_base,9,256,40000,7.856565952301025,0.7461879098515112,0.79,0.635,0.75,0.805,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_boost,0,256,40000,8.306762933731079,0.7576436521695434,0.8,0.745,0.81,0.8,2.2216733674258937,9.98340908704
rotation2d,R2D_rot90,random_graph_k25,delta_boost,1,256,40000,7.540882587432861,0.7526930227883721,0.815,0.64,0.82,0.825,2.576951479791496,9.991818891204911
rotation2d,R2D_rot90,random_graph_k25,delta_boost,2,256,40000,8.288774490356445,0.7521334891083139,0.81,0.725,0.795,0.8,2.429620519161509,9.997920051640977
rotation2d,R2D_rot90,random_graph_k25,delta_boost,3,256,40000,7.708763360977173,0.7437771664028542,0.81,0.745,0.77,0.8,2.5184376860040283,9.982865143932258
rotation2d,R2D_rot90,random_graph_k25,delta_boost,6,256,40000,8.178851842880249,0.7514423004447124,0.795,0.615,0.805,0.84,2.6820373638715416,9.999887304268888
rotation2d,R2D_rot90,random_graph_k25,delta_boost,7,256,40000,7.463848829269409,0.7414200648224919,0.815,0.61,0.82,0.805,2.6983643253206515,9.99911615425128
rotation2d,R2D_rot90,random_graph_k25,delta_boost,4,256,40000,8.391444444656372,0.7600248737468908,0.795,0.73,0.815,0.82,2.1423011474152482,9.976477599999999
rotation2d,R2D_rot90,random_graph_k25,delta_boost,5,256,40000,7.469775915145874,0.7465316198085475,0.805,0.715,0.825,0.84,2.6305867600831747,9.926818495602562
rotation2d,R2D_rot90,random_graph_k25,delta_boost,8,256,40000,8.149136066436768,0.7425925228009347,0.81,0.705,0.795,0.85,2.40665783965984,9.981981143794219
rotation2d,R2D_rot90,random_graph_k25,delta_boost,9,256,40000,7.267336368560791,0.7369966835004146,0.785,0.63,0.775,0.82,2.583083720405925,9.999090503546507
rotation2d,R2D_rot90,random_graph_k25,rls_online,0,256,40000,8.14591908454895,0.8994447375694079,0.935,0.9,0.9,0.9875,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,1,256,40000,6.816438913345337,0.9071354991080627,1.0,0.885,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,2,256,40000,6.784345626831055,0.8857767392779077,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,3,256,40000,4.329355001449585,0.8842428582196428,0.9,0.9,0.9,0.8,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,4,256,40000,6.998489141464233,0.90040199994975,0.9,0.89,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,5,256,40000,4.295562982559204,0.8973342378332203,0.9,0.9,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,6,256,40000,6.556058645248413,0.8975088565613929,1.0,0.875,0.8525,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,7,256,40000,4.038005113601685,0.8877101077862365,1.0,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,8,256,40000,6.53829026222229,0.9091166051104244,0.98,0.9,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rls_online,9,256,40000,4.013961315155029,0.8850757518655309,0.9,0.8,0.9,0.9,nan,0.0
