task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,4Dshell,24,35.0,256,7,48000,7.991116523742676,0.5170280956465346,0.52,0.49333333333333335
kernel_capacity,4Dshell,24,35.0,256,4,48000,7.6557676792144775,0.48040166523712896,0.48,0.5083333333333333
kernel_capacity,4Dshell,24,35.0,256,5,48000,8.8060781955719,0.4790046233342399,0.48,0.4633333333333333
kernel_capacity,4Dshell,24,40.0,256,2,48000,7.529855966567993,0.4949478044392376,0.53,0.5083333333333333
kernel_capacity,4Dshell,24,40.0,256,3,48000,6.7461097240448,0.4994376686680195,0.505,0.5166666666666667
kernel_capacity,4Dshell,24,40.0,256,4,48000,6.663431882858276,0.5049781385326667,0.59,0.4766666666666667
kernel_capacity,4Dshell,24,40.0,256,5,48000,6.876850843429565,0.503032990941612,0.465,0.4766666666666667
kernel_capacity,4Dshell,24,40.0,256,6,48000,6.570509910583496,0.5026484801573189,0.46,0.4866666666666667
kernel_capacity,4Dshell,24,40.0,256,7,48000,7.601986408233643,0.4876575803853476,0.48,0.5183333333333333
kernel_capacity,4Dshell,24,40.0,256,8,48000,6.5323708057403564,0.5000656890023221,0.565,0.49666666666666665
kernel_capacity,4Dshell,24,40.0,256,9,48000,7.786890029907227,0.5041978201292859,0.52,0.5
kernel_capacity,4Dshell,24,45.0,256,0,48000,6.645902872085571,0.5020083261856446,0.52,0.52
kernel_capacity,4Dshell,24,45.0,256,1,48000,7.836813449859619,0.5184623752641158,0.48,0.5
kernel_capacity,4Dshell,24,45.0,256,6,48000,6.60712742805481,0.5029384322503713,0.52,0.51
kernel_capacity,4Dshell,24,45.0,256,7,48000,6.892449617385864,0.5163076086274345,0.48,0.49666666666666665
kernel_capacity,4Dshell,24,45.0,256,2,48000,8.307283163070679,0.5070864626263049,0.58,0.48833333333333334
kernel_capacity,4Dshell,24,45.0,256,3,48000,7.386110067367554,0.50800443505366,0.505,0.48333333333333334
kernel_capacity,4Dshell,24,25.0,64,0,48000,1.859349012374878,0.5149101483232569,0.48,0.5683333333333334
kernel_capacity,4Dshell,24,25.0,64,1,48000,2.688103437423706,0.5215439007552143,0.49,0.58
kernel_capacity,4Dshell,24,45.0,256,4,48000,8.44763731956482,0.48485722056023933,0.52,0.5033333333333333
kernel_capacity,4Dshell,24,45.0,256,5,48000,7.903482675552368,0.4902307483107048,0.52,0.5233333333333333
kernel_capacity,4Dshell,24,45.0,256,8,48000,6.755142688751221,0.49718206732076725,0.49,0.5216666666666666
kernel_capacity,4Dshell,24,45.0,256,9,48000,7.854182958602905,0.494092592205184,0.48,0.505
kernel_capacity,4Dshell,24,25.0,64,2,48000,1.953756332397461,0.5251417334365389,0.52,0.58
kernel_capacity,4Dshell,24,25.0,64,3,48000,2.006488800048828,0.5330281793267923,0.52,0.5616666666666666
kernel_capacity,4Dshell,24,25.0,64,4,48000,1.906008005142212,0.52078366561369,0.51,0.56
kernel_capacity,4Dshell,24,25.0,64,5,48000,2.4786477088928223,0.509324072718144,0.545,0.54
kernel_capacity,4Dshell,24,25.0,64,6,48000,2.3128175735473633,0.5341444739649798,0.58,0.5616666666666666
kernel_capacity,4Dshell,24,25.0,64,7,48000,1.9002206325531006,0.5168523671052906,0.545,0.5433333333333333
kernel_capacity,4Dshell,24,25.0,64,8,48000,2.1545679569244385,0.5283487793142403,0.575,0.5583333333333333
kernel_capacity,4Dshell,24,25.0,64,9,48000,1.8331758975982666,0.512354553252024,0.575,0.5666666666666667
kernel_capacity,2Dcircle,20,10.0,256,0,40000,4.737242698669434,0.6038453807693275,0.73,0.9216666666666666
